ticker,chunk_id,Question,Ground_Truth_Answer,Source_Passage,Question_Type,Difficulty
MSFT,2,"According to the excerpt, what four monetized solutions does LinkedIn offer in addition to its free services?","LinkedIn offers four monetized solutions designed to provide AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.","LinkedIn offers monetized solutions designed to offer AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",Fact extraction,Easy
MSFT,2,What factors primarily drive Dynamics revenue and what shift is the company emphasizing within this product line?,"Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including low code development platforms such as Power Apps and Power Automate.","Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including our low code development platforms, such as Power Apps and Power Automate.",Multi-step reasoning,Medium
MSFT,4,"As of June 30, 2025, how many full-time employees did the company have in the U.S. versus internationally?","The company employed approximately 228,000 people full-time as of June 30, 2025, with 125,000 in the U.S. and 103,000 internationally.","As of June 30, 2025, we employed approximately 228,000 people on a full-time basis, 125,000 in the U.S. and 103,000 internationally.",Fact extraction,Easy
MSFT,4,"By how many employees did the operations function exceed the product research and development function as of June 30, 2025?","Operations employed 89,000 people while product research and development employed 80,000, so operations exceeded R&D by 9,000 employees.","89,000 were in operations, including product support and consulting services, datacenter operations, and manufacturing and distribution; 80,000 were in product research and development",Numeric calculation,Medium
MSFT,1,"In what year did Microsoft announce its goals to become a carbon negative, water positive, and zero waste company, and by what target year are these goals to be achieved?","Microsoft announced these goals in 2020, with a target of achieving them by 2030.","In 2020, we announced goals to become a carbon negative, water positive, and zero waste company by 2030.",Fact extraction,Easy
MSFT,1,"What segment composition change did Microsoft announce in August 2024, and when did the chief operating decision maker's reporting begin to reflect this change?","In August 2024, Microsoft announced changes to its segments, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment. Beginning in fiscal year 2025, the information the chief operating decision maker is regularly provided and reviews for allocating resources and assessing performance reflects these segment changes.","In August 2024, we announced changes to the composition of our segments. These changes align our segments with how we currently manage our business, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment. Beginning in fiscal year 2025, the information that our chief operating decision maker is regularly provided and reviews for purposes of allocating resources and assessing performance reflects these segment changes.",Multi-step reasoning,Medium
MSFT,3,"According to the excerpt, what three components primarily comprise Microsoft's More Personal Computing segment?","The More Personal Computing segment primarily comprises: (1) Windows and Devices, including Windows OEM licensing and Devices (Surface and PC accessories); (2) Gaming, including Xbox hardware and Xbox content and services; and (3) Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.","Windows and Devices, including Windows OEM licensing (Windows Pro and non-Pro licenses sold through the OEM channel) and Devices, comprising Surface and PC accessories.

Gaming, including Xbox hardware and Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services.

Search and news advertising, comprising Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.",Fact extraction,Medium
MSFT,3,What factors does the excerpt identify as impacting Windows OEM revenue beyond computing device market volume?,"Beyond computing device market volume, Windows OEM revenue is impacted by: the mix of computing devices based on form factor and screen size; differences in device market demand between developed markets and growth markets; growth of the AI PC category; attachment of Windows to devices shipped; customer mix between consumer, small and medium businesses, and large enterprises; changes in inventory levels in the OEM channel; pricing changes and promotions and pricing variation when the mix shifts from local/regional system builders to large multinational OEMs and different pricing of Windows versions licensed; and constraints in the supply chain of device components.","In addition to computing device market volume, Windows OEM revenue is impacted by:

The mix of computing devices based on form factor and screen size.

Differences in device market demand between developed markets and growth markets.

Growth of the AI PC category.

Attachment of Windows to devices shipped.

Customer mix between consumer, small and medium businesses, and large enterprises.

Changes in inventory levels in the OEM channel.

Pricing changes and promotions, pricing variation that occurs when the mix of devices manufactured shifts from local and regional system builders to large multinational OEMs, and different pricing of Windows versions licensed.

Constraints in the supply chain of device components.",Multi-step reasoning,Hard
MSFT,7,"According to the excerpt, what are the potential financial consequences of shifting a portion of the company's business to a vertically-integrated model?",Shifting a portion of the business to a vertically-integrated model may increase the company's cost of revenue and reduce its operating margins.,Shifting a portion of our business to a vertically-integrated model may increase our cost of revenue and reduce our operating margins.,Fact extraction,Easy
MSFT,7,"How do competitors who modify and distribute open source software gain a cost advantage over the company, and what business models do they use to earn revenue?","These firms do not bear the full costs of research and development for the open source products, giving them a cost advantage. They earn revenue on advertising or integrated products and services, and may also develop, make available, or use AI models that are open.","Some companies compete with us by modifying and then distributing open source software at little or no cost to end users, developing, making available, or using AI models that are open, and earning revenue on advertising or integrated products and services. These firms do not bear the full costs of research and development for the open source products.",Multi-step reasoning,Medium
MSFT,5,"Which three multinational OEMs are specifically named as having distribution agreements with Microsoft, and how does the report distinguish direct OEMs from system builders?","The three named multinational OEMs are Dell, Hewlett-Packard, and Lenovo. Direct OEMs are distinguished because Microsoft's relationship with them is managed through a direct agreement between Microsoft and the OEM, while system builders are lower-volume PC manufacturers that source Microsoft software for pre-installation and local redistribution primarily through the Microsoft distributor channel rather than through a direct agreement or relationship with Microsoft.","We have distribution agreements covering one or more of our products with virtually all the multinational OEMs, including Dell, Hewlett-Packard, Lenovo, and with many regional and local OEMs. The second broad category of OEMs are system builders consisting of lower-volume PC manufacturers, which source Microsoft software for pre-installation and local redistribution primarily through the Microsoft distributor channel rather than through a direct agreement or relationship with Microsoft.",Fact extraction,Medium
MSFT,6,"In what years did Mr. Nadella become Chairman of the Board and Chief Executive Officer of Microsoft, and what role did he hold immediately before becoming CEO?","Mr. Nadella was appointed Chairman of the Board in June 2021 and Chief Executive Officer in February 2014. Immediately before becoming CEO, he served as Executive Vice President, Cloud and Enterprise from July 2013.","Mr. Nadella was appointed Chairman of the Board in June 2021 and Chief Executive Officer in February 2014. He served as Executive Vice President, Cloud and Enterprise from July 2013 until that time.",Fact extraction,Easy
MSFT,8,"What specific acquisition did the company complete in October 2023, and what strategic partnership phase did it announce in January 2023?","In October 2023 the company completed its acquisition of Activision Blizzard, Inc., and in January 2023 it announced the third phase of its OpenAI strategic partnership.","in

October 2023 we completed our acquisition of

, Inc. (“Activision Blizzard”). In January 2023 we announced the third phase of our OpenAI strategic partnership.",Fact extraction,Easy
MSFT,8,"According to the excerpt, how did a nation-state associated threat actor gain access to Microsoft email accounts beginning in late November 2023, and what further access did this lead to?","Beginning in late November 2023, a nation-state associated threat actor used a password spray attack to compromise a legacy test account and, in turn, gain access to Microsoft email accounts. The threat actor used information it obtained to gain unauthorized access to some of the company's source code repositories and internal systems.","beginning in late November 2023, a nation-state associated threat actor used a password spray attack to compromise a legacy test account and, in turn, gain access to Microsoft email accounts. The threat actor used information it obtained to gain unauthorized access to some of our source code repositories and internal systems",Multi-step reasoning,Medium
MSFT,10,"According to the excerpt, why might Microsoft be unable to detect the existence or extent of cyberattacks for all of its customers, and what specific software is cited as an example?","Microsoft may not be able to detect attacks especially where an attack involves on-premises software such as Exchange Server, because it may have no or limited visibility into its customers' computing environments.","We may not be able to detect the existence or extent of these attacks for all of our customers or have information on how to detect or track an attack, especially where an attack involves on-premises software such as Exchange Server where we may have no or limited visibility into our customers’ computing environments.",Fact extraction,Easy
MSFT,10,Which specific industries does the company identify as having enhanced or specialized expectations and requirements that affect how it must develop and engineer its products and services?,"Customers in financial services, health care, and government have enhanced or specialized expectations and requirements to which Microsoft must develop and engineer its products and services.","Customers in certain industries such as financial services, health care, and government have enhanced or specialized expectations and requirements to which we must develop and engineer our products and services.",Literal,Medium
MSFT,11,"According to the excerpt, which strategic partner is named as a developer of AI that Microsoft incorporates into or makes available through its offerings?","OpenAI is named as Microsoft's strategic partner whose AI may be developed and used in Microsoft's offerings, alongside AI developed by Microsoft or others.","This AI may be developed by Microsoft or others, including our strategic partner, OpenAI.",Fact extraction,Easy
MSFT,11,"What specific physical and resource dependencies does the company identify for its datacenters, and what factors could adversely affect their cost or availability?","The datacenters depend on the availability of permitted and buildable land, predictable energy, networking supplies, and servers (including graphics processing units and other components). The cost or availability of these dependencies could be adversely affected by factors including the transition to a clean energy economy, local and regional environmental regulations, and geopolitical disruptions.","Our datacenters depend on the availability of permitted and buildable land, predictable energy, networking supplies, and servers, including graphics processing units and other components. The cost or availability of these dependencies could be adversely affected by a variety of factors, including the transition to a clean energy economy, local and regional environmental regulations, and geopolitical disruptions.",Multi-step reasoning,Medium
MSFT,12,"According to the excerpt, where are datacenter servers, Xbox consoles, Surface devices, and other hardware assembled, and what risk does this create?","They are assembled in Asia and other geographies that may be subject to disruptions in the supply chain, resulting in shortages which could adversely affect the company's business, operations, financial condition, and results of operations.","Datacenter servers, Xbox consoles, Surface devices, and other hardware are assembled in Asia and other geographies that may be subject to disruptions in the supply chain, resulting in shortages which could adversely affect our business, operations, financial condition, and results of operations.",Fact extraction,Easy
MSFT,12,"What specific regulatory areas does the EU's AI Act and emerging AI legislation address according to the excerpt, and how might they affect the company?","Emerging AI legislation could increase costs or restrict opportunity; the EU's AI Act may increase costs or impact the provision or operation of the company's AI models and services in the European market. AI regulatory areas include model and system development and deployment, frontier model safety, transparency, and content provenance.","Legislative and regulatory action is emerging in AI, which could increase costs or restrict opportunity. For example, the EU’s AI Act may increase costs or impact the provision or operation of our AI models and services in the European market. AI regulatory areas include model and system development and deployment, frontier model safety, transparency, and content provenance.",Multi-step reasoning,Medium
MSFT,13,"For which tax years has the company received Notices of Proposed Adjustment from the IRS, and what additional tax payment is the IRS seeking?","The company has received Notices of Proposed Adjustment (NOPAs) from the IRS for the tax years 2004 to 2013, and the IRS is seeking an additional tax payment of $28.9 billion plus penalties and interest. The primary issues relate to intercompany transfer pricing.","We are currently under IRS audit for prior tax years and have received Notices of Proposed Adjustment (“NOPAs”) from the IRS for the tax years 2004 to 2013. The primary issues in the NOPAs relate to intercompany transfer pricing. In the NOPAs, the IRS is seeking an additional tax payment of $28.9 billion plus penalties and interest.",Fact extraction,Easy
MSFT,13,"What sustainability goals did the company announce in 2020, and by what year does it aim to achieve them?","In 2020 the company announced goals to become carbon negative, water positive, and zero waste by 2030.","in 2020 we announced goals to become carbon negative, water positive, and zero waste by 2030",Literal,Medium
MSFT,15,What three factors does Microsoft state will determine the extent to which global pandemics impact its business going forward?,"The extent depends on: the duration and scope of the pandemic; governmental, business, and individuals' actions in response to the pandemic; and the impact on economic activity, including the possibility of recession or financial market instability.","The extent to which global pandemics impact our business going forward will depend on factors such as the duration and scope of the pandemic; governmental, business, and individuals' actions in response to the pandemic; and the impact on economic activity, including the possibility of recession or financial market instability.",Fact extraction,Medium
MSFT,15,When did Microsoft launch its Secure Future Initiative and when did it expand the scope of that initiative?,Microsoft launched the Secure Future Initiative (SFI) in November 2023 and expanded its scope in May 2024.,we launched the Secure Future Initiative (“SFI”) in November 2023 and expanded the scope of SFI in May 2024,Literal,Easy
MSFT,14,"According to the excerpt, why does the company state that a leak of its source code could harm its results of operations?","Because if source code leaks, the company might lose future trade secret protection for that code, making it easier for third parties to compete by copying functionality, which could adversely affect results of operations. It also increases security risks.","If our source code leaks, we might lose future trade secret protection for that code. It may then become easier for third parties to compete with our products by copying functionality, which could adversely affect our results of operations.",Multi-step reasoning,Medium
MSFT,14,"What specific geographic regions house the company's corporate headquarters and key operations, and what shared risk characteristic do they have?","The company's corporate headquarters, a significant portion of its research and development activities, and certain other essential business operations are in the Seattle, Washington area, with other operations in the Silicon Valley area of California. Both regions are seismically active.","Our corporate headquarters, a significant portion of our research and development activities, and certain other essential business operations are in the Seattle, Washington area, and we have other business operations in the Silicon Valley area of California, both of which are seismically active regions.",Fact extraction,Easy
MSFT,17,What drove the 23% increase in Server products and cloud services revenue in fiscal year 2025?,The 23% increase in Server products and cloud services revenue was driven by Azure and other cloud services revenue growth of 34%.,Server products and cloud services revenue increased 23% driven by Azure and other cloud services revenue growth of 34%.,Literal,Easy
MSFT,18,"By what percentage did Search and news advertising revenue increase when excluding traffic acquisition costs, and how does this compare to the increase in Xbox content and services revenue?","Search and news advertising revenue excluding traffic acquisition costs increased 20%, which was 4 percentage points higher than the 16% increase in Xbox content and services revenue.","Xbox content and services revenue increased 16%.

Search and news advertising revenue excluding traffic acquisition costs increased 20%.",Comparison,Medium
MSFT,18,What key metric change did Microsoft make in the first quarter of fiscal year 2025 in connection with its segment changes regarding Microsoft 365?,The key change was bringing the commercial components of Microsoft 365 together and creating a new Microsoft 365 Commercial cloud revenue growth metric.,The key change was bringing the commercial components of Microsoft 365 together and creating a new Microsoft 365 Commercial cloud revenue growth metric.,Fact extraction,Easy
MSFT,19,"By what dollar amount and percentage did total revenue increase in Fiscal Year 2025 compared with Fiscal Year 2024, and which products drove growth in each segment?",Total revenue increased $36.6 billion or 15% with growth across each segment. Intelligent Cloud revenue increased driven by Azure; Productivity and Business Processes revenue increased driven by Microsoft 365 Commercial cloud; and More Personal Computing revenue increased driven by Gaming and Search and news advertising.,Revenue increased $36.6 billion or 15% with growth across each of our segments. Intelligent Cloud revenue increased driven by Azure. Productivity and Business Processes revenue increased driven by Microsoft 365 Commercial cloud. More Personal Computing revenue increased driven by Gaming and Search and news advertising.,Fact extraction,Medium
MSFT,19,"What drove the change in Microsoft Cloud gross margin percentage in Fiscal Year 2025, and to what percentage did it decrease?","Microsoft Cloud gross margin percentage decreased to 69%, driven by the impact of scaling AI infrastructure, offset in part by efficiency gains in Azure.","Microsoft Cloud gross margin percentage decreased to 69% driven by the impact of scaling our AI infrastructure, offset in part by efficiency gains in Azure.",Literal,Easy
MSFT,16,"According to the excerpt, how many unique threat actors does the company track, and what is the breakdown by category mentioned?","The company tracks over 1,500 unique threat actors, including more than 600 nation-state actors, 300 cybercriminal groups, 200 influence operation groups, and hundreds of others.","We track over 1,500 unique threat actors, including more than 600 nation-state actors, 300 cybercriminal groups, 200 influence operation groups, and hundreds of others.",Fact extraction,Medium
MSFT,20,"For fiscal year 2025, what was Microsoft's total income before income taxes when combining its U.S. and foreign amounts?","In fiscal year 2025, U.S. income before income taxes was $69.2 billion and foreign income before income taxes was $54.4 billion, for a combined total of $123.6 billion.","In fiscal year 2025, our U.S. income before income taxes was $69.2 billion and our foreign income before income taxes was $54.4 billion.",Numeric calculation,Medium
MSFT,20,"What additional tax payment is the IRS seeking in the Notices of Proposed Adjustment, and what primary issue do they relate to?","The IRS is seeking an additional tax payment of $28.9 billion plus penalties and interest, and the primary issues in the NOPAs relate to intercompany transfer pricing.","The primary issues in the NOPAs relate to intercompany transfer pricing. In the NOPAs, the IRS is seeking an additional tax payment of $28.9 billion plus penalties and interest.",Fact extraction,Easy
MSFT,22,"Under the TCJA transition tax installment schedule, what percentage of the tax is due in each of years six, seven, and eight, and what was the dollar amount of the company's eighth installment as of June 30, 2025?","Under the TCJA, 15% is due in year six, 20% in year seven, and 25% in year eight. As of June 30, 2025, the company's eighth transition tax installment was $4.4 billion, which is short-term and payable in the first quarter of fiscal year 2026.","the transition tax is payable in interest-free installments over eight years, with 8% due in each of the first five years, 15% in year six, 20% in year seven, and 25% in year eight. As of June 30, 2025, our eighth transition tax installment of $4.4 billion is short-term and payable in the first quarter of fiscal year 2026.",Multi-step reasoning,Medium
MSFT,22,"How many shares did the company repurchase in fiscal year 2025 and at what cost, and how much remained of its total share repurchase program as of June 30, 2025?","During fiscal year 2025, the company repurchased 31 million shares for $13.0 billion. As of June 30, 2025, $57.3 billion remained of its $60 billion share repurchase program.","During fiscal years 2025 and 2024, we repurchased 31 million shares and 32 million shares of our common stock for $13.0 billion and $12.0 billion, respectively, through our share repurchase program. All repurchases were made using cash resources. As of June 30, 2025, $57.3 billion remained of our $60 billion share repurchase program.",Fact extraction,Easy
MSFT,21,"What was the total of cash, cash equivalents, and short-term investments as of June 30, 2025, and how did it change compared to June 30, 2024?","Cash, cash equivalents, and short-term investments totaled $94.6 billion as of June 30, 2025, up from $75.5 billion as of June 30, 2024, an increase of $19.1 billion.","Cash, cash equivalents, and short-term investments totaled $94.6 billion and $75.5 billion as of June 30, 2025 and 2024, respectively.",Numeric calculation,Medium
MSFT,21,What was the primary reason cash used in investing decreased to $72.6 billion in fiscal year 2025?,"Cash used in investing decreased $24.4 billion to $72.6 billion primarily due to a $63.2 billion decrease in cash used for acquisitions of companies, net of cash acquired and divestitures, and purchases of intangible and other assets, partly offset by a $22.3 billion increase in net investment purchases, sales, and maturities, and a $20.1 billion increase in additions to property and equipment.","Cash used in investing decreased $24.4 billion to $72.6 billion for fiscal year 2025, primarily due to a $63.2 billion decrease in cash used for acquisitions of companies, net of cash acquired and divestitures, and purchases of intangible and other assets, offset in part by a $22.3 billion increase in cash used in net investment purchases, sales, and maturities, and a $20.1 billion increase in additions to property and equipment.",Fact extraction,Hard
MSFT,24,"In what month and year did Microsoft announce changes to the composition of its segments, and what was the most notable change described?","In August 2024, Microsoft announced changes to the composition of its segments, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment.","In August 2024, we announced changes to the composition of our segments. These changes align our segments with how we currently manage our business, most notably bringing the commercial components of Microsoft 365 together in the Productivity and Business Processes segment.",Fact extraction,Easy
MSFT,24,"Which three notes to the financial statements were primarily impacted by the recast of prior period segment information, and what impact did the recast have on the consolidated financial statements?","The recast primarily impacted Note 8 – Goodwill, Note 12 – Unearned Revenue, and Note 18 – Segment Information and Geographic Data. The recast had no impact on the consolidated balance sheets, consolidated income statements, or consolidated cash flows statements.","These changes primarily impacted Note 8 – Goodwill, Note 12 – Unearned Revenue, and Note 18 – Segment Information and Geographic Data.

The recast of prior period information had no impact on our consolidated balance sheets, consolidated income statements, or consolidated cash flows statements.",Multi-step reasoning,Medium
MSFT,25,"For multi-year on-premises license agreements, why does the company record a receivable for revenue recognized, and how does it typically invoice these customers?","The company records a receivable related to revenue recognized for multi-year on-premises licenses because it has an unconditional right to invoice and receive payment in the future related to those licenses. For multi-year agreements, it generally invoices customers annually at the beginning of each annual coverage period.","For multi-year agreements, we generally invoice customers annually at the beginning of each annual coverage period. We record a receivable related to revenue recognized for multi-year on-premises licenses as we have an unconditional right to invoice and receive payment in the future related to those licenses.",Multi-step reasoning,Hard
MSFT,25,"How is revenue from Office 365 recognized, and what is the reason for that treatment?","Office 365 depends on a significant level of integration, interdependency, and interrelation between the desktop applications and cloud services, so it is accounted for together as one performance obligation, and revenue from Office 365 is recognized ratably over the period in which the cloud services are provided.","Certain cloud services, primarily Office 365, depend on a significant level of integration, interdependency, and interrelation between the desktop applications and cloud services, and are accounted for together as one performance obligation. Revenue from Office 365 is recognized ratably over the period in which the cloud services are provided.",Fact extraction,Medium
MSFT,23,"On what specific date does the company perform its annual goodwill impairment test, and at what level is goodwill tested?",Goodwill is tested for impairment at the reporting unit level (operating segment or one level below an operating segment) on an annual basis on May 1.,Goodwill is tested for impairment at the reporting unit level (operating segment or one level below an operating segment) on an annual basis (May 1),Fact extraction,Easy
MSFT,23,"What threshold of likelihood must a tax position meet for its benefit to be recognized, and how is the recognized benefit measured?","The tax benefit is recognized only if it is more likely than not that the tax position will be sustained on examination by the taxing authorities, based on the technical merits; the benefit recognized is measured based on the largest benefit that has a greater than 50% likelihood of being realized upon ultimate settlement.","We recognize the tax benefit from an uncertain tax position only if it is more likely than not that the tax position will be sustained on examination by the taxing authorities, based on the technical merits of the position. The tax benefits recognized in the financial statements from such a position are measured based on the largest benefit that has a greater than 50% likelihood of being realized upon ultimate settlement.",Multi-step reasoning,Medium
MSFT,26,"According to the filing, what valuation model does the company use to measure the fair value of performance stock units (PSUs), and which recognition method applies to PSUs versus RSUs?","The company measures the fair value of PSUs using a Monte Carlo valuation model. Compensation cost for RSUs is recognized using the straight-line method, while compensation cost for PSUs is recognized using the accelerated method.",We measure the fair value of PSUs using a Monte Carlo valuation model. Compensation cost for RSUs is recognized using the straight-line method and for PSUs is recognized using the accelerated method.,Fact extraction,Medium
MSFT,26,"How does the company treat software development costs in relation to technological feasibility, and where are these costs recorded before and after that point?","Software development costs are included in research and development expense until technological feasibility is reached, which for the company's software products is generally shortly before the products are released to production. Once technological feasibility is reached, such costs are capitalized and amortized to cost of revenue over the estimated lives of the products.","Such costs related to software development are included in research and development expense until the point that technological feasibility is reached, which for our software products is generally shortly before the products are released to production. Once technological feasibility is reached, such costs are capitalized and amortized to cost of revenue over the estimated lives of the products.",Multi-step reasoning,Hard
MSFT,27,"For debt investments classified as available-for-sale, where are changes in fair value recorded, and what is specifically excluded from that treatment?","Changes in fair value are recorded in other comprehensive income, excluding credit losses and impairments.","Changes in fair value, excluding credit losses and impairments, are recorded in other comprehensive income.",Fact extraction,Easy
MSFT,27,Which specific types of investments does the company categorize as Level 2 in its fair value hierarchy?,"Level 2 investments include commercial paper, certificates of deposit, U.S. agency securities, foreign government bonds, mortgage- and asset-backed securities, corporate notes and bonds, and municipal securities.","Our Level 2 investments include commercial paper, certificates of deposit, U.S. agency securities, foreign government bonds, mortgage- and asset-backed securities, corporate notes and bonds, and municipal securities.",Literal,Medium
MSFT,30,"On what date does Microsoft test goodwill for impairment annually, and what methodology does it primarily use?","Microsoft tests goodwill for impairment annually on May 1 at the reporting unit level, primarily using a discounted cash flow methodology with a peer-based, risk-adjusted weighted average cost of capital.","We test goodwill for impairment annually on May 1 at the reporting unit level, primarily using a discounted cash flow methodology with a peer-based, risk-adjusted weighted average cost of capital.",Literal,Easy
